nodeName altName nodeAttribute
comp11996_c0 NA turquoise
comp12_c0 NA turquoise
comp1200_c0 NA blue
comp12002_c0 NA turquoise
comp12003_c0 NA blue
comp12004_c0 NA blue
comp12008_c0 NA blue
comp12009_c0 NA blue
comp1201_c0 NA blue
comp12013_c0 NA turquoise
comp12014_c0 NA turquoise
comp12015_c1 NA blue
comp12016_c0 NA turquoise
comp12017_c0 NA turquoise
comp12018_c0 NA turquoise
comp1202_c0 NA blue
comp12020_c0 NA turquoise
comp12023_c0 NA turquoise
comp12024_c0 NA turquoise
comp12025_c0 NA blue
comp12026_c0 NA blue
comp12027_c0 NA turquoise
comp12028_c0 NA turquoise
comp1203_c0 NA blue
comp12031_c0 NA blue
comp12032_c0 NA turquoise
comp12035_c0 NA yellow
comp12038_c0 NA blue
comp12039_c0 NA blue
comp12042_c0 NA brown
comp12044_c0 NA turquoise
comp12045_c0 NA turquoise
comp12046_c0 NA turquoise
